Year	Month	Date	Production	Product2014
1969	July	1969.54	381.29	
1969	Aug	1969.63	383.23	
1969	Sept	1969.71	388.00	
1969	Oct	1969.79	365.81	
1969	Nov	1969.88	358.00	
1969	Dec	1969.96	365.81	
1970	Jan	1970.04	365.81	
1970	Feb	1970.13	370.71	
1970	March	1970.21	378.39	
1970	April	1970.29	388.00	
1970	May	1970.38	403.55	
1970	June	1970.46	405.00	
1970	July	1970.54	379.35	
1970	Aug	1970.63	366.77	
1970	Sept	1970.71	382.00	
1970	Oct	1970.79	374.52	
1970	Nov	1970.88	360.00	
1970	Dec	1970.96	364.84	
1971	Jan	1971.04	360.97	
1971	Feb	1971.13	373.93	
1971	March	1971.21	379.35	
1971	April	1971.29	392.00	
1971	May	1971.38	405.48	
1971	June	1971.46	421.00	
1971	July	1971.54	399.68	
1971	Aug	1971.63	407.42	
1971	Sept	1971.71	406.00	
1971	Oct	1971.79	405.48	
1971	Nov	1971.88	391.00	
1971	Dec	1971.96	387.10	
1972	Jan	1972.04	397.74	
1972	Feb	1972.13	401.38	
1972	March	1972.21	402.58	
1972	April	1972.29	408.00	
1972	May	1972.38	423.87	
1972	June	1972.46	432.00	
1972	July	1972.54	410.32	
1972	Aug	1972.63	413.23	
1972	Sept	1972.71	419.00	
1972	Oct	1972.79	406.45	
1972	Nov	1972.88	380.00	
1972	Dec	1972.96	390.00	
1973	Jan	1973.04	354.19	
1973	Feb	1973.13	388.93	
1973	March	1973.21	387.10	
1973	April	1973.29	397.00	
1973	May	1973.38	406.45	
1973	June	1973.46	404.00	
1973	July	1973.54	377.42	
1973	Aug	1973.63	379.35	
1973	Sept	1973.71	381.00	
1973	Oct	1973.79	371.61	
1973	Nov	1973.88	362.00	
1973	Dec	1973.96	364.84	
1974	Jan	1974.04	347.42	
1974	Feb	1974.13	352.50	
1974	March	1974.21	360.00	
1974	April	1974.29	364.00	
1974	May	1974.38	372.58	
1974	June	1974.46	380.00	
1974	July	1974.54	358.06	
1974	Aug	1974.63	356.13	
1974	Sept	1974.71	361.00	
1974	Oct	1974.79	351.29	
1974	Nov	1974.88	341.00	
1974	Dec	1974.96	346.45	
1975	Jan	1975.04	359.03	
1975	Feb	1975.13	363.21	
1975	March	1975.21	363.87	
1975	April	1975.29	371.00	
1975	May	1975.38	373.55	
1975	June	1975.46	380.00	
1975	July	1975.54	359.03	
1975	Aug	1975.63	356.13	
1975	Sept	1975.71	361.00	
1975	Oct	1975.79	354.19	
1975	Nov	1975.88	353.00	
1975	Dec	1975.96	357.10	
1976	Jan	1976.04	360.00	
1976	Feb	1976.13	367.24	
1976	March	1976.21	375.48	
1976	April	1976.29	384.00	
1976	May	1976.38	390.00	
1976	June	1976.46	395.00	
1976	July	1976.54	379.35	
1976	Aug	1976.63	384.19	
1976	Sept	1976.71	387.00	
1976	Oct	1976.79	377.42	
1976	Nov	1976.88	372.00	
1976	Dec	1976.96	372.58	
